cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
16452248;46999726;94172675;3663357;0.3500498705035004;0.03890042414107914
12096756;33976535;65319758;2636558;0.35603265606690027;0.0403638666266951
9782385;27607592;56104968;2214525;0.35433677084187565;0.03947110352152772
8655217;22865835;41246732;1683918;0.3785217990071213;0.04082548891388535
11937474;31652680;54907695;2389413;0.3771394396935741;0.04351690596372694
11175523;30627278;51032730;2179039;0.36488789503265684;0.04269885228558221
6661307;19118096;48806202;1404976;0.3484294147283286;0.02878683327991799
8978505;25924141;51416123;2050191;0.34633760864053315;0.039874476727854415
3930230;11639943;33892478;974885;0.3376502788716405;0.028764052011776772
17447746;62793168;142021771;5952540;0.2778605787177357;0.04191286982331744
6079545;16989745;33501133;1382323;0.35783615351495857;0.04126197761729432
11761535;36540967;84468526;2821998;0.3218725711336539;0.03340886994997403
10231340;33188635;79916911;2567636;0.30827842121256266;0.03212881939343226
5553898;16528769;44437001;1535225;0.33601401290077926;0.034548348571047806
14827887;46523796;119639028;3812472;0.3187161898827;0.03186645749077801
13029294;36218912;63507247;2837335;0.35973731071767145;0.044677342099241055
16758153;50831478;88680762;4253869;0.32968061640859625;0.04796834064190833
18437235;49746299;80189304;3779097;0.3706252599816521;0.04712719541748361
21898765;63012415;127028245;6071776;0.34753095878010704;0.04779862935207835
13413229;36848952;61723916;2885273;0.36400571174995694;0.0467448144411317
15993480;49677712;98028248;3827089;0.32194477877725125;0.03904067529596163
20162841;56917067;113381195;4573011;0.3542494731852574;0.04033306404999524
11858247;36232928;117591807;2555904;0.32727818739904213;0.021735391820282172
5809317;16109419;45040652;1703105;0.3606161711977322;0.037812618698326125
10531066;32474284;109320411;3357802;0.32428939772775284;0.030715233955715734
6925441;36534867;274329380;2922524;0.18955703328549137;0.01065333942722431
15840230;48600568;125778384;4039873;0.3259268492499923;0.032118976818783104
19223823;55846478;129379486;5143244;0.3442262375077619;0.03975316457819287
17206239;47031853;97740603;3846127;0.3658422516331644;0.0393503506418924
10718585;34147139;203572795;2441111;0.31389408641233457;0.011991341966887078
11554137;40036884;167215976;3400827;0.2885873186334881;0.020337931107730998
7673942;39563607;277999657;3415373;0.19396467061256573;0.012285529546534656
12467050;45854517;187334698;4250508;0.2718827024172995;0.02268937919872164
5425049;17095711;43613653;1813957;0.31733392077112205;0.04159149429652224
11100180;36366498;107684909;2999942;0.3052309298519753;0.02785851822561321
5926831;17139105;40717306;1326261;0.3458074969492281;0.03257241527717968
5716734;18091479;101915230;2012706;0.3159904173672036;0.019748824586864985
5043822;15073075;38069183;1361181;0.3346246203909952;0.03575545606008934
9921095;28249433;74156768;1899994;0.3511962523283211;0.02562131618249598
11428260;32504534;77607564;2469673;0.3515897197603264;0.03182258110820229
8825841;22653930;47306071;2049685;0.38959425583110746;0.04332815971971124
9795203;36103924;157033001;3086690;0.2713057727464749;0.019656314152717493
11775778;39868887;237173518;2920549;0.2953625969041975;0.012313975964213677
13286332;56426857;324822731;4916198;0.23546113865601268;0.015135018367910957
10779436;37103960;159802430;2787687;0.2905198259161556;0.017444584541048594
9259818;31398506;71648569;2311724;0.2949126942536693;0.03226476163117787
7815228;22428534;50852035;1720486;0.3484502375411607;0.03383317894750918
12041435;47569125;256320349;5719911;0.25313551594653044;0.0223154775745097
7366993;20915328;71788187;2043726;0.35222937933366383;0.028468834294422284
11352531;29012486;49540218;2112475;0.39129811213006704;0.04264161695856889
13486263;38991698;105926021;2792726;0.34587524246828133;0.026364872140340286
7109657;23327907;61619129;2033449;0.30477046226221666;0.033000287946296676
4686828;15947250;45023042;1601684;0.29389568734421295;0.035574761918574935
6606833;22821231;56109086;2031966;0.28950379582941865;0.036214562468545645
5389961;17616104;50415015;1362678;0.30596782353237695;0.027029209452779097
4708260;14118487;42414082;1369727;0.3334819092159096;0.03229415645492457
6253154;17813357;45238829;1577499;0.3510373704406194;0.03487046492737467
5352997;15262621;46039166;1107688;0.35072593363878984;0.02405968865726195
4417051;14444453;38799768;1332487;0.30579565733641834;0.0343426538014351
7614381;36242985;262463539;2373120;0.21009254618514453;0.009041713028185603
6236440;22999674;108278380;1890534;0.27115340852222514;0.017459939832864143
4794346;15237024;47551596;1064790;0.3146510762206583;0.022392308346495877
4871049;12984753;38843619;991981;0.3751360538009464;0.025537810985119588
4910474;17357049;43904256;1376641;0.28290949688509837;0.031355525077113255
6297871;21257641;49848332;1575255;0.2962638704830889;0.03160095707916566
4320383;12862108;32390211;1006979;0.33590007174562675;0.03108899167097121
6483965;19671175;66095280;1489448;0.329617574954216;0.02253486179345938
8309715;23235034;52121168;1845288;0.3576373075244908;0.03540381136508683
10303287;27216637;57332212;1992708;0.3785657647563143;0.03475721467017529
7799060;24859416;72775777;2137206;0.31372659759987925;0.029366996658792114
7837116;25044777;116039782;2118951;0.3129241677815698;0.01826055653913586
9443592;24565082;53627349;1753924;0.38443152764562316;0.0327057748090438
7864429;22611267;54979420;1816326;0.34781018684180764;0.033036470737595997
4612368;12975339;40306357;942887;0.35547186859626556;0.02339300969323524
3885026;12401017;33666989;959827;0.31328285414010804;0.028509439914570323
4772908;13362480;31925517;1049687;0.3571872885871485;0.03287924828280776
5098691;19754117;124069940;1766429;0.2581077655862826;0.014237364828257352
11454551;50664924;374288032;5212309;0.22608444058852234;0.013925930177751449
6350573;20124736;87575329;1403444;0.3155605618876193;0.016025563546555446
5471727;19731862;52443983;1301628;0.27730413885927235;0.024819396345239452
4208173;13800926;40498312;1039502;0.30491961191589606;0.025667785857346352
