cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
2958923;7677546;10289253;635177;0.38539957950105413;0.06173208103639788
2408450;6265231;8494078;523068;0.3844151955450645;0.06158031513249584
2252831;5616577;8119114;496818;0.40110391079833857;0.06119115952799776
2114128;5566415;7466601;474207;0.37980064368179517;0.06351042462293084
4139052;10851695;19493273;916384;0.38141986113690074;0.047010268619333447
2174428;5759562;7703530;462105;0.37753356939295035;0.05998613622586009
2355423;6319418;15185365;638226;0.3727278366457164;0.042029019388075295
3222495;11900297;23845129;838735;0.2707911407589239;0.03517426976385827
2390015;6172182;8737341;515586;0.38722367551702136;0.05900948583785387
2531242;6383321;8652008;546835;0.3965399828709852;0.06320324715372432
2427685;6029786;8343516;513375;0.40261544937084004;0.061529815487859074
2540775;8652400;71033436;1336679;0.29364973880079515;0.018817603022891923
5045479;18343871;105600135;2740909;0.27504985180063685;0.025955544469711142
1959833;5022744;7885300;441806;0.39019169601317527;0.05602906674444853
2348769;6479014;15632253;660635;0.3625195129999719;0.042261022771317734
3986293;13785394;70962080;1543820;0.28916786854260385;0.021755562971096674
3570447;9442287;14782505;798660;0.37813370849668093;0.054027378986173186
8863688;34048122;218070779;4285313;0.26032824952871114;0.019651018901528296
1984515;5280856;6889352;452353;0.37579418942686565;0.06565973113291351
2112900;5114592;7077341;455455;0.41311213093830357;0.0643539713573219
3102157;9675763;45509400;1067597;0.3206110980601736;0.023458823891327946
2060158;5344117;7061976;474839;0.38550016775456075;0.0672388294720911
2560643;6943829;18710704;703403;0.36876527345359456;0.03759361486344929
6568024;23404900;137966345;2637456;0.28062602275591864;0.01911666211060386
2262844;5857516;7815838;478361;0.3863146084449449;0.061204057709486816
8802041;26705185;41990682;2035565;0.3296004502496425;0.04847658821068922
2255630;5587887;8245849;477275;0.40366421153469995;0.0578806378821635
2253955;6316180;12112884;513193;0.356854142852167;0.042367531960183884
2231598;5632333;7542053;471965;0.3962120137427954;0.06257778883282841
2264046;5616059;9973740;474532;0.4031378587724951;0.047578140196155104
2356438;5831352;7501462;489825;0.40409805479072436;0.06529727138523131
2449740;6410730;17788942;645994;0.38213120814634216;0.03631435753739599
2635915;8048405;14427534;639383;0.3275077484296578;0.04431685969341677
3894120;10817808;14482749;818332;0.359973111003634;0.05650391372521888
2248938;6098282;13583394;504648;0.3687822242395481;0.037151834070336176
2188353;5625761;7348152;461432;0.3889879075915241;0.06279565256679502
2065804;5173323;7112711;437372;0.3993185811131453;0.06149160285016501
1989760;5324826;6857232;420280;0.3736760600252478;0.061290036562858016
2054295;5399302;7662125;443775;0.3804741798106496;0.057918005775160285
2286968;6147942;14232627;619968;0.3719891957341172;0.043559632385504095
2198460;5746300;8257412;494396;0.3825870560186555;0.05987299652724122
2202740;6012279;11046515;498671;0.3663735498635376;0.04514283464060837
2213115;5632539;7591894;483186;0.3929160543761881;0.06364498766710916
2212261;5811911;10531031;505839;0.38064261479571865;0.048033188773254964
2064931;5901618;8664788;453801;0.3498923515551159;0.052373006702529826
2474916;6256423;8753547;527460;0.39558003031444644;0.06025671650589184
2063384;5523635;14353335;472496;0.3735554575926903;0.032918900032640495
2200061;5793839;8582824;507932;0.3797242208490778;0.05918005542231788
2214477;6192701;13713400;592072;0.3575946909111226;0.04317470503303338
2284116;5665061;7857831;505020;0.40319354019312414;0.06426964387500826
3302104;8799483;19717909;816977;0.3752611375009191;0.0414332473083226
2181107;5714373;8288328;458704;0.3816878947174082;0.05534336961568123
6102867;17440345;32528527;1242994;0.34992811208723223;0.038212428125011626
